Table 1
STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS,hour
Métro Champ-de-Mars (Viger / Sanguinet),Ville-Marie,45.51025293429710,-73.55677664279940,St-Antoine / Jean-Paul Riopelle,Ville-Marie,45.502939709023700,-73.56064036488530,1704230756167,1704231106232,21
Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,45.50631445605530,-73.55967122894070,de Maisonneuve / Aylmer (est),Ville-Marie,45.50538591756770,-73.5704317688942,1704232888826,1704233303502,22
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319050,-73.5645255446434,Parc Molson (d'Iberville / Beaubien),Rosemont - La Petite-Patrie,45.54902230455400,-73.59198164194820,1704238154678,1704239359500,23
Marmier / St-Denis,Rosemont - La Petite-Patrie,45.53102667048670,-73.59862312674520,Roy / St-André,Le Plateau-Mont-Royal,45.521564270906600,-73.57036739587780,1704232695740,1704233329014,21
Marmier / St-Denis,Rosemont - La Petite-Patrie,45.53102667048670,-73.59862312674520,Parc Molson (d'Iberville / Beaubien),Rosemont - La Petite-Patrie,45.54902230455400,-73.59198164194820,1704243796167,1704244484511,1
du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509890,-73.57424452900890,du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,1704144097745,1704144771687,21
Ste-Catherine / St-Clément,Mercier - Hochelaga-Maisonneuve,45.55671730558940,-73.53024959564210,Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52423612093820,-73.58155220746990,1704290864533,1704293183871,14
Marmier / St-Denis,Rosemont - La Petite-Patrie,45.53102667048670,-73.59862312674520,Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52423612093820,-73.58155220746990,1704247675937,1704248040293,2
Dorion / Ontario,Ville-Marie,45.526991277453500,-73.55821162462230,Métro Champ-de-Mars (Viger / Sanguinet),Ville-Marie,45.51025293429710,-73.55677664279940,1704255988920,1704256751323,4
Dorion / Ontario,Ville-Marie,45.526991277453500,-73.55821162462230,Métro Frontenac (Ontario / du Havre),Ville-Marie,45.533705987798900,-73.55217933654780,1704240795875,1704241094224,0
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319050,-73.5645255446434,Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52423612093820,-73.58155220746990,1704171872662,1704172717646,5
du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509890,-73.57424452900890,Métro St-Laurent ( de Maisonneuve / St-Laurent),Ville-Marie,45.51074821798920,-73.56512099504470,1704304834200,1704305702478,18
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319050,-73.5645255446434,de la Commune / King,Ville-Marie,45.49750375338380,-73.55284452438350,1704291002345,1704292259060,14
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319050,-73.5645255446434,de la Commune / King,Ville-Marie,45.49750375338380,-73.55284452438350,1704237977599,1704239460802,23
Marmier / St-Denis,Rosemont - La Petite-Patrie,45.53102667048670,-73.59862312674520,Marmier / St-Denis,Rosemont - La Petite-Patrie,45.53102667048670,-73.59862312674520,1704148242342,1704151097279,22
Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,45.50631445605530,-73.55967122894070,Peel / Notre-Dame,Ville-Marie,45.49544692088700,-73.56329441070560,1704138635974,1704139169215,19
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319050,-73.5645255446434,Cartier / Marie-Anne,Le Plateau-Mont-Royal,45.53280412806030,-73.57190161943440,1704143585731,1704143837834,21
Ste-Catherine / St-Clément,Mercier - Hochelaga-Maisonneuve,45.55671730558940,-73.53024959564210,de la Commune / St-Sulpice,Ville-Marie,45.50424245563400,-73.553469479084,1704287553913,1704289665308,13
Pierre-de-Coubertin / Aird,Mercier - Hochelaga-Maisonneuve,45.55903106539300,-73.54830354452130,Place Valois (Valois / Ontario),Mercier - Hochelaga-Maisonneuve,45.54714142711510,-73.54339510202410,1704247727864,1704248280908,2
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319050,-73.5645255446434,des Érables / Rachel,Le Plateau-Mont-Royal,45.533313304815400,-73.56671154499050,1704304257750,1704304666557,17
du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509890,-73.57424452900890,des Érables / Rachel,Le Plateau-Mont-Royal,45.533313304815400,-73.56671154499050,1704225693673,1704225949238,20
Pierre-de-Coubertin / Aird,Mercier - Hochelaga-Maisonneuve,45.55903106539300,-73.54830354452130,Bennett / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,45.55315915057820,-73.53263273835180,1704222396540,1704222735425,19
Atwater / Sherbrooke,Ville-Marie,45.4912258547597,-73.58763009309770,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Le Plateau-Mont-Royal,45.51487490356940,-73.58486406505110,1704237817530,1704238834814,23
Marmier / St-Denis,Rosemont - La Petite-Patrie,45.53102667048670,-73.59862312674520,St-Grégoire / Christophe-Colomb,Le Plateau-Mont-Royal,45.53255611409680,-73.58993947505950,1704234949793,1704235289564,22
Marmier / St-Denis,Rosemont - La Petite-Patrie,45.53102667048670,-73.59862312674520,St-Viateur / Casgrain,Le Plateau-Mont-Royal,45.527070404438400,-73.59791234135630,1704228530758,1704229154060,20
du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509890,-73.57424452900890,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Le Plateau-Mont-Royal,45.51487490356940,-73.58486406505110,1704131191496,1704131742322,17
Marmier / St-Denis,Rosemont - La Petite-Patrie,45.53102667048670,-73.59862312674520,des Carrières / Marquette,Rosemont - La Petite-Patrie,45.53857953787110,-73.58848571777340,1704179043340,1704179632545,7
St-Antoine / Jean-Paul Riopelle,Ville-Marie,45.502939709023700,-73.56064036488530,Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,45.50631445605530,-73.55967122894070,1704139515365,1704139664576,20
du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509890,-73.57424452900890,Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319050,-73.5645255446434,1704300016260,1704300316321,16
Ste-Catherine / St-Clément,Mercier - Hochelaga-Maisonneuve,45.55671730558940,-73.53024959564210,Métro Viau ( Pierre-de-Coubertin / Viau),Mercier - Hochelaga-Maisonneuve,45.56221872617910,-73.54626774787900,1704132946284,1704133588614,18
Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,45.50631445605530,-73.55967122894070,de Maisonneuve / Aylmer (ouest),Ville-Marie,45.505173440423300,-73.5706517100334,1704303920148,1704305931626,17
La Tour de Montréal (Pierre-de-Coubertin / Bennett),Mercier - Hochelaga-Maisonneuve,45.55970526805900,-73.55155438184740,Préfontaine / Marcel-Pépin,Rosemont - La Petite-Patrie,45.54365380040510,-73.55942063033580,1704304622493,1704305506906,17
Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.51689731423110,-73.58910799026490,de l'Hôtel-de-Ville / Rachel,Le Plateau-Mont-Royal,45.51989655507830,-73.58010649681090,1704292696801,1704292924692,14
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Le Plateau-Mont-Royal,45.51487490356940,-73.58486406505110,St-Antoine / Jean-Paul Riopelle,Ville-Marie,45.502939709023700,-73.56064036488530,1704281867461,1704282284669,11
Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.527831544563100,-73.5719096660614,Complexe Desjardins (St-Urbain / René-Lévesque),Ville-Marie,45.50788520688480,-73.56315059591000,1704288528514,1704289328679,13
Roy / St-André,Le Plateau-Mont-Royal,45.521564270906600,-73.57036739587780,de Bellechasse / de Lanaudière,Rosemont - La Petite-Patrie,45.539306918976,-73.59521873295310,1704280444458,1704281400968,11
du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,de Maisonneuve / Aylmer (est),Ville-Marie,45.50538591756770,-73.5704317688942,1704290489855,1704291023895,14
St-Hubert / du Mont-Royal,Le Plateau-Mont-Royal,45.525710872858500,-73.58128398656850,de l'Hôtel-de-Ville / Rachel,Le Plateau-Mont-Royal,45.51989655507830,-73.58010649681090,1704288962019,1704289235653,13
Clark / de l'Arcade,Le Plateau-Mont-Royal,45.527371996141,-73.60398352146150,du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,1704286213996,1704286604433,12
Roy / St-André,Le Plateau-Mont-Royal,45.521564270906600,-73.57036739587780,Métro Sherbrooke (de Rigaud / Berri),Le Plateau-Mont-Royal,45.51814312154930,-73.56800436973570,1704234776296,1704234980585,22
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Le Plateau-Mont-Royal,45.51487490356940,-73.58486406505110,Roy / St-André,Le Plateau-Mont-Royal,45.521564270906600,-73.57036739587780,1704256712959,1704257128309,4
du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,Milton / St-Laurent,Le Plateau-Mont-Royal,45.512903912221300,-73.57059180742000,1704230070413,1704230517865,21
Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.527831544563100,-73.5719096660614,Roy / St-André,Le Plateau-Mont-Royal,45.521564270906600,-73.57036739587780,1704228450765,1704228682177,20
du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52423612093820,-73.58155220746990,1704302412439,1704302906689,17
Smith / Peel,Le Sud-Ouest,45.49276061084000,-73.55641052126880,Robert-Bourassa / St-Maurice,Ville-Marie,45.49837045828950,-73.56055587530140,1704286540246,1704286740421,12
